xAccl,yAccl,zAccl,newPosition,time,low-pass_filtered
-623,72,813,0,18200121,-600.9026511
-610,80,828,0,18225129,-573.5369496
-564,80,854,0,18250133,-537.0922405
-530,55,882,0,18275136,-490.7818561
-482,26,906,0,18300140,-431.9086714
-395,27,921,0,18325144,-358.3266484
-284,15,961,0,18350152,-274.5235695
-227,11,967,0,18375156,-184.0722718
-88,30,998,0,18400160,-87.22745779
-25,-7,976,0,18425163,14.77836067
155,-10,1013,0,18450167,117.6541229
222,-29,968,0,18475175,212.2904454
323,-55,939,0,18500179,294.4568464
371,-40,909,0,18525182,365.5070911
439,-45,893,0,18550190,427.6694074
486,-51,868,0,18575194,482.9919501
547,-54,844,0,18600198,531.2762979
594,-59,818,0,18625202,569.8692994
626,-60,813,0,18650206,594.9845542
619,-58,815,0,18675209,606.2113718
662,-68,809,0,18700214,601.6822296
580,-41,839,0,18725217,579.6428859
563,-59,852,0,18750221,545.8774581
524,-64,860,0,18775225,502.6997369
462,-50,897,0,18800229,448.2865118
381,-52,931,0,18825233,385.6953007
335,-33,942,0,18850237,317.2047164
328,-83,932,0,18875240,231.9106543
137,-46,975,0,18900244,119.3483765
-28,28,1008,0,18925252,-8.442074497
-257,63,1046,0,18950256,-123.7440971
-210,26,976,0,18975260,-213.2363647
-357,56,987,0,19000263,-285.7349063
-332,42,953,0,19025267,-349.1302823
-428,43,923,0,19050275,-410.4528313
-542,59,901,0,19075279,-465.558516
-506,57,872,0,19100283,-506.6051568
-579,65,863,0,19125290,-539.3007369
-608,69,853,0,19150294,-562.691614
-619,68,842,0,19175298,-571.1568491
-611,71,853,0,19200302,-563.6358764
-558,66,858,0,19225306,-543.3682934
-558,66,853,0,19250313,-514.1755094
-496,56,898,0,19275321,-475.8519884
-464,55,913,0,19300329,-428.7117454
-409,42,937,0,19325333,-371.8773477
-334,23,948,0,19350337,-304.1491426
-242,6,962,0,19375340,-228.5544849
-173,15,984,0,19400344,-148.0666732
-89,21,998,0,19425348,-61.76298429
17,-4,985,0,19450352,30.61359882
125,2,1000,0,19475356,125.0601685
235,-36,969,0,19500360,215.2853522
324,-43,947,0,19525367,294.778964
360,-40,923,0,19550375,362.8417532
427,-53,899,0,19575383,424.6089607
521,-52,889,0,19600390,478.1157646
523,-59,860,0,19625398,518.375276
586,-63,841,0,19650402,545.3919101
580,-63,829,0,19675406,557.5487216
566,-62,838,0,19700406,556.1950249
565,-51,852,0,19725413,544.764113
537,-59,874,0,19750418,523.0559607
519,-73,878,0,19775421,489.6974222
457,-49,913,0,19800429,443.8257815
404,-59,913,0,19825433,386.7771456
331,-40,947,0,19850437,320.0375571
276,-56,966,0,19875440,242.1032299
76,29,988,0,19900445,161.244029
133,-52,995,0,19925452,86.11283509
2,-30,978,0,19950456,7.016797551
-108,-1,978,0,19975460,-76.20471088
-140,3,979,0,20000464,-157.7360842
-273,24,982,0,20025467,-239.7967903
-351,42,950,0,20050471,-316.8447231
-427,41,931,0,20075475,-382.2874187
-470,47,917,0,20100483,-434.8217534
-540,48,888,0,20125491,-471.9106175
-463,40,882,0,20150498,-498.4692606
-579,58,877,0,20175502,-523.1124273
-562,51,860,0,20200506,-541.2646698
-616,63,859,0,20225510,-545.5696107
-590,67,891,0,20250514,-530.4824677
-534,56,903,0,20275518,-495.2665043
-471,49,911,0,20300523,-446.9003766
-422,24,925,0,20325527,-389.7399881
-337,49,955,0,20350533,-325.7997451
-252,31,969,0,20375535,-260.6776715
-171,15,987,0,20400547,-203.1367201
-296,14,985,0,20425554,-140.6247399
-73,-9,995,0,20450558,-50.39083844
82,-14,1002,0,20475566,54.2120364
163,-21,987,0,20500570,150.4863068
249,-39,979,0,20525577,236.354382
342,-61,956,0,20550585,311.5229284
387,-48,923,0,20575593,374.0973744
454,-55,911,0,20600601,424.112277
466,-49,897,0,20625608,462.6189824
520,-60,878,0,20650616,490.6650316
514,-51,878,0,20675626,508.039705
530,-60,865,0,20700626,516.0773986
533,-59,855,0,20725633,515.1437522
536,-70,860,0,20750635,501.9041858
490,-62,896,0,20775643,474.5067808
450,-46,908,0,20800651,435.2040655
399,-55,926,0,20825654,386.292522
336,-40,952,0,20850659,328.8576395
293,-41,952,0,20875662,261.7691688
188,-45,968,0,20900670,183.3613763
83,-19,986,0,20925678,98.78315839
11,-12,992,0,20950685,13.68454004
-116,-6,1006,0,20975693,-67.80254257
-149,15,980,0,21000701,-141.8425222
-205,12,995,0,21025708,-213.9081946
-332,43,964,0,21050717,-285.8868061
-394,44,964,0,21075724,-348.0204292
-422,45,934,0,21100728,-396.7736145
-467,45,915,0,21125736,-435.8613641
-490,52,903,0,21150740,-467.0651246
-539,58,898,0,21175744,-488.6227181
-530,58,894,0,21200748,-497.543641
-526,54,897,0,21225752,-494.835615
-527,54,899,0,21250765,-481.098362
-489,58,916,0,21275771,-454.5970849
-440,38,930,0,21300775,-417.4200479
-411,40,942,0,21325777,-371.4578816
-346,35,964,0,21350781,-315.3355765
-260,26,984,0,21375790,-251.4333596
-226,11,980,0,21400793,-181.5373351
-87,9,992,0,21425798,-107.2043862
-63,20,1014,0,21450799,-32.92186569
11,-11,992,0,21475805,45.50303609
158,-17,1009,0,21500813,127.4552212
209,-30,975,0,21525821,202.3521621
272,-47,965,0,21550828,268.7534484
351,-37,954,0,21575836,327.7737341
393,-52,926,0,21600844,376.2891503
422,-42,921,0,21625851,414.5389484
454,-61,900,0,21650859,444.9600342
494,-60,894,0,21675867,466.239253
493,-59,888,0,21700867,475.3729299
488,-54,889,0,21725874,472.7712594
481,-29,907,0,21750878,459.3154277
447,-49,919,0,21775887,434.90989
393,-53,920,0,21800894,403.1959704
394,-39,932,0,21825901,365.8150837
356,-36,948,0,21850906,315.8596646
219,-40,968,0,21875913,254.7429784
255,-62,959,0,21900921,186.1243841
46,28,1004,0,21925928,109.9488312
46,-29,1014,0,21950936,35.18654337
-85,19,997,0,21975948,-33.4102314
-77,-10,992,0,22000952,-98.2073672
-148,6,989,0,22025956,-167.6982195
-305,24,974,0,22050960,-240.369923
-330,14,975,0,22075965,-302.3764678
-376,53,962,0,22100969,-353.1406539
-448,49,930,0,22125973,-394.2937329
-447,40,937,0,22150977,-423.0055725
-472,52,916,0,22175982,-441.5794109
-488,49,915,0,22200986,-451.0939519
-492,49,904,0,22225992,-448.8868503
-435,53,918,0,22250998,-437.7631615
-465,43,927,0,22276002,-421.8431845
-460,42,931,0,22301006,-393.9691133
-365,49,963,0,22326009,-349.9056414
-339,45,960,0,22351013,-294.8454482
-233,36,977,0,22376017,-232.5901637
-232,13,984,0,22401021,-161.9768586
10,39,1041,0,22426025,-90.84417538
-81,-8,994,0,22451025,-31.89576061
-6,-8,1001,0,22476029,26.56524881
96,-16,996,0,22501032,92.99222927
153,-18,991,0,22526036,159.2279532
220,-25,988,0,22551044,223.1769368
301,-37,970,0,22576048,282.9587369
359,-42,957,0,22601052,333.0178298
371,-36,940,0,22626059,372.3372172
420,-43,930,0,22651067,403.9663459
444,-49,917,0,22676075,427.0367755
457,-52,911,0,22701075,439.4923417
448,-46,909,0,22726079,442.3568472
445,-49,923,0,22751084,437.8883489
457,-63,914,0,22776090,424.3607555
402,-48,940,0,22801094,399.4403062
382,-49,935,0,22826098,365.2527846
356,-46,949,0,22851102,319.970431
261,-39,964,0,22876105,261.9535604
187,-38,976,0,22901113,197.9251032
129,-16,987,0,22926117,133.093992
86,-29,987,0,22951121,64.40533817
-33,-5,1018,0,22976128,-9.504953448
-128,28,1025,0,23001129,-79.31143233
-139,16,985,0,23026132,-140.2823635
-222,32,1000,0,23051136,-197.5103482
-266,22,984,0,23076140,-251.9135481
-342,21,964,0,23101144,-300.0816488
-361,24,952,0,23126148,-339.423586
-399,45,934,0,23151152,-370.5622742
-425,36,934,0,23176156,-393.9102338
-444,46,932,0,23201160,-407.6561752
-429,36,926,0,23226163,-412.4945001
-464,50,928,0,23251167,-407.8859698
-427,37,937,0,23276171,-389.6024917
-386,46,952,0,23301175,-358.440859
-302,48,980,0,23326182,-323.4938044
-346,21,959,0,23351190,-287.6870947
-290,16,968,0,23376198,-240.4340736
-179,27,995,0,23401206,-180.5728626
-153,7,1002,0,23426209,-115.5949331
-33,4,1012,0,23451213,-48.17962508
25,1,1017,0,23476217,15.36717736
58,-13,1015,0,23501221,73.32648533
136,-19,991,0,23526225,129.1608383
195,-24,988,0,23551229,180.0082017
206,-34,969,0,23576233,225.4495805
248,-19,974,0,23601237,272.3045721
356,-53,945,0,23626240,318.765151
369,-51,928,0,23651244,354.9489713
397,-46,936,0,23676248,378.8525038
407,-51,932,0,23701252,392.4037785
403,-41,931,0,23726256,396.7870729
430,-58,929,0,23751260,390.6716895
374,-48,945,0,23776263,371.9152114
332,-38,955,0,23801267,346.5491074
340,-40,957,0,23826271,318.1169589
292,-37,970,0,23851275,282.0083576
243,-34,973,0,23876279,237.3605584
185,-38,992,0,23901283,187.1221924
153,-28,983,0,23926286,130.8344693
60,-25,986,0,23951290,67.31940255
13,-15,1016,0,23976298,-2.153478134
-128,39,1030,0,24001306,-71.76920374
-154,25,1006,0,24026310,-132.6458271
-205,13,994,0,24051310,-184.726078
-257,16,978,0,24076317,-231.2965411
-282,27,976,0,24101321,-273.0862104
-342,39,972,0,24126325,-310.6937381
-374,35,950,0,24151329,-341.0357521
-392,40,954,0,24176333,-361.7179645
-402,33,944,0,24201337,-373.289147
-395,35,945,0,24226340,-377.5230561
-418,45,943,0,24251344,-374.1801273
-398,47,948,0,24276348,-359.5037004
-350,39,964,0,24301352,-334.224213
-317,32,976,0,24326356,-303.8982627
-308,27,974,0,24351360,-268.7226891
-251,18,986,0,24376363,-224.9024692
-201,11,992,0,24401368,-172.1729124
-100,10,995,0,24426371,-115.9977458
-90,-11,998,0,24451375,-60.7054679
-14,1,1016,0,24476379,-3.491311155
