xAccl,yAccl,zAccl,time
4,39,1013,1742476855.366836
7,40,1018,1742476855.409021
-2,44,1014,1742476855.4687328
-4,43,1014,1742476855.5085633
-2,39,1013,1742476855.5708919
-7,44,1013,1742476855.616246
-5,43,1026,1742476855.6725483
-4,38,1016,1742476855.724032
-3,46,1015,1742476855.7750173
7,44,1013,1742476855.8248048
6,45,1017,1742476855.875022
3,43,1012,1742476855.9251564
7,40,1012,1742476855.9753385
7,43,1013,1742476856.0253227
3,45,1013,1742476856.0751524
4,41,1013,1742476856.1249797
4,45,1017,1742476856.1753225
-3,45,1022,1742476856.2254517
-4,45,1018,1742476856.274829
-5,45,1015,1742476856.328602
-4,35,1016,1742476856.3744733
-4,42,1012,1742476856.4250443
-3,43,1008,1742476856.475165
-2,40,1016,1742476856.5405154
0,41,1013,1742476856.5913594
4,41,1008,1742476856.6414928
11,34,1013,1742476856.6914473
4,45,1009,1742476856.7416272
6,38,1012,1742476856.7915363
2,45,1014,1742476856.844791
5,45,1010,1742476856.8958774
0,43,1020,1742476856.9451442
-4,39,1014,1742476856.9961567
-1,41,1016,1742476857.0416117
-5,40,1012,1742476857.096309
-2,42,1016,1742476857.1414783
-4,42,1013,1742476857.196738
1,38,1019,1742476857.2410629
3,41,1015,1742476857.2967694
1,42,1010,1742476857.3563406
3,40,1015,1742476857.4070654
4,42,1024,1742476857.4574847
2,43,1019,1742476857.5079947
2,46,1013,1742476857.559538
2,43,1019,1742476857.6081338
-1,41,1020,1742476857.6614835
-3,43,1012,1742476857.7083182
-3,44,1012,1742476857.763836
0,42,1012,1742476857.8083992
-5,42,1008,1742476857.8662076
-5,43,1011,1742476857.9079432
1,41,1012,1742476857.9676032
0,40,1019,1742476858.007822
2,42,1016,1742476858.0697637
-2,43,1015,1742476858.108015
0,44,1012,1742476858.1717675
9,45,1017,1742476858.2234654
8,42,1016,1742476858.273585
5,38,1012,1742476858.324403
2,43,1008,1742476858.3740833
-2,44,1019,1742476858.4246294
-1,45,1013,1742476858.4742768
-3,42,1018,1742476858.5244157
-3,39,1015,1742476858.5742936
-1,45,1015,1742476858.6243854
2,40,1012,1742476858.6743703
-2,44,1006,1742476858.7240255
0,44,1015,1742476858.7744038
1,37,1021,1742476858.824503
10,42,1017,1742476858.8745213
0,42,1013,1742476858.9248517
4,43,1014,1742476858.9744391
5,43,1016,1742476859.0247405
2,43,1015,1742476859.0900638
-1,40,1019,1742476859.1411405
0,44,1016,1742476859.1911316
1,37,1018,1742476859.240764
-2,44,1011,1742476859.290981
-1,40,1013,1742476859.3414326
1,42,1020,1742476859.3964064
-1,38,1015,1742476859.4417872
0,44,1013,1742476859.4909358
-1,43,1021,1742476859.5492756
-1,40,1013,1742476859.5997863
2,37,1019,1742476859.6505284
6,42,1012,1742476859.7023673
4,44,1014,1742476859.7409103
8,41,1014,1742476859.8035018
0,41,1012,1742476859.854828
-1,44,1010,1742476859.9063911
-2,42,1018,1742476859.9563446
0,43,1012,1742476860.0081973
-2,38,1016,1742476860.059027
-2,45,1020,1742476860.1100662
-3,42,1014,1742476860.157956
-1,43,1011,1742476860.2073362
1,44,1011,1742476860.257292
-1,43,1019,1742476860.3137739
0,45,1025,1742476860.36509
4,43,1009,1742476860.4156096
4,45,1016,1742476860.4672246
-1,39,1014,1742476860.5182433
-1,40,1011,1742476860.5697289
-7,43,1017,1742476860.6195755
-1,41,1015,1742476860.6709177
0,45,1005,1742476860.7223582
-2,45,1015,1742476860.7733917
-1,42,1015,1742476860.8241556
-2,43,1020,1742476860.874056
3,41,1013,1742476860.9248402
3,37,1011,1742476860.9735093
5,44,1014,1742476861.0245662
4,45,1012,1742476861.0738647
1,44,1015,1742476861.1239328
3,40,1017,1742476861.1807973
0,38,1016,1742476861.2322633
-3,45,1016,1742476861.274243
3,42,1014,1742476861.3237953
-3,42,1020,1742476861.3742979
-2,41,1014,1742476861.4361815
-2,43,1017,1742476861.4874446
-2,42,1019,1742476861.5240192
-4,41,1020,1742476861.5894806
3,43,1010,1742476861.6398237
2,45,1017,1742476861.6903458
3,37,1014,1742476861.7424953
-2,44,1016,1742476861.7904503
1,36,1009,1742476861.8426838
-1,40,1015,1742476861.8928366
